Product ID;Ürün Adı;SKU;Barkod;Normal Fiyat;İndirimli Fiyat
065d5af9-800b-439d-8356-d1dbe03a5266;Ala Kloş Etek Beyaz;SWS8638;2030590002735;1868.75;1123.95
065d5af9-800b-439d-8356-d1dbe03a5266;Ala Kloş Etek Beyaz;SWS8638;2030590002736;1868.75;1123.95
065d5af9-800b-439d-8356-d1dbe03a5266;Ala Kloş Etek Beyaz;SWS8638;2030590002737;1868.75;1123.95
5eb1e7e7-4999-4350-8049-088741d56822;Ala Kloş Etek Kahverengi;SWS8638;235590004007;2000;1123.95
5eb1e7e7-4999-4350-8049-088741d56822;Ala Kloş Etek Kahverengi;SWS8638;235590004008;2000;1123.95
5eb1e7e7-4999-4350-8049-088741d56822;Ala Kloş Etek Kahverengi;SWS8638;235590004009;2000;1123.95
5eb1e7e7-4999-4350-8049-088741d56822;Ala Kloş Etek Kahverengi;SWS8638;235590004010;2000;1123.95
f525733d-b5a8-40ef-b77d-48eeb0d20e37;Ala Kloş Etek Lacivert;SWS8638;2030590002742;2500;1123.95
f525733d-b5a8-40ef-b77d-48eeb0d20e37;Ala Kloş Etek Lacivert;SWS8638;2030590002743;2500;1123.95
f525733d-b5a8-40ef-b77d-48eeb0d20e37;Ala Kloş Etek Lacivert;SWS8638;2030590002744;2500;1123.95
f525733d-b5a8-40ef-b77d-48eeb0d20e37;Ala Kloş Etek Lacivert;SWS8638;2030590002745;2500;1123.95
a2dd8184-8259-4638-86d0-6172e28ae60d;Alice Straplez Elbise Kısa;25QU006;2030590004107;1384.63;748.95
a2dd8184-8259-4638-86d0-6172e28ae60d;Alice Straplez Elbise Kısa;25QU006;2030590004108;1384.63;748.95
a2dd8184-8259-4638-86d0-6172e28ae60d;Alice Straplez Elbise Kısa;25QU006;2030590004109;1384.63;748.95
26b675e3-3122-4c20-bad6-dc7c0948c2c6;Alice Straplez Uzun Elbise;25QU005;2030590004101;1625;599
